cid	size	cluster
Preference	3	prefer.v, disprefer.v, favor.v
Progression	7	develop.v, progress.v, burgeon.v, advance.v, mature.v, stagnate.v, improve.v
Adjusting	3	calibrate.v, adjust.v, tweak.v
Theft	22	pinch.v, pilfer.v, snitch.v, filch.v, thieve.v, steal.v, swipe.v, lift.v, abscond (with).v, shoplift.v, purloin.v, make off (with).v, misappropriate.v, embezzle.v, bag.v, nick.v, rustle.v, snatch.v, cop.v, abstract.v, flog.v, pickpocket.v
Cause_to_continue	1	keep.v
Enforcing	1	enforce.v
Becoming_dry	4	dry up.v, dry.v, exsiccate.v, dehydrate.v
Mass_motion	15	stream.v, roll.v, shower.v, flock.v, throng.v, swarm.v, hail.v, pour.v, rain.v, flood.v, parade.v, crowd.v, teem.v, troop.v, pelt.v
Offering	4	serve.v, proffer.v, offer.v, extend.v
Retaining	4	hang on to.v, keep.v, hold on to.v, retain.v
Prevent_or_allow_possession	5	deny.v, deprive.v, starve.v, permit.v, allow.v
Hit_target	3	shoot.v, hit.v, pick off.v
Heralding	1	herald.v
Surrendering	3	surrender.v, turn in.v, give up.v
Commitment	10	swear.v, undertake.v, vow.v, consent.v, promise.v, threaten.v, covenant.v, commit.v, pledge.v, volunteer.v
Emotions_of_mental_activity	6	groove.v, savour.v, luxuriate.v, enjoy.v, relish.v, delight (in).v
Making_arrangements	4	set up.v, plan.v, put together.v, organize.v
Reassuring	1	reassure.v
Coming_to_believe	16	speculate.v, surmise.v, deduce.v, determine.v, realize.v, strike.v, ascertain.v, learn.v, conclude.v, infer.v, puzzle out.v, guess.v, work out.v, gather.v, find.v, figure out.v
Reading_aloud	2	read.v, read out.v
Desirable_event	4	ought to.v, have to.v, be supposed to.v, should.v
Abundance	2	abound.v, teem.v
Being_in_control	5	dominate.v, rule.v, manage.v, control.v, manipulate.v
Launch_process	1	launch.v
Linguistic_meaning	3	mean.v, denote.v, designate.v
Counterattack	1	counter-attack.v
Predicting	8	vaticinate.v, claim.v, foretell.v, forecast.v, prognosticate.v, prophesy.v, predict.v, soothsay.v
Change_posture	25	kneel.v, stand up.v, stand.v, bend.v, stoop.v, drop.v, rise.v, hunch up.v, kneel up.v, hunch.v, slouch.v, crouch down.v, huddle.v, crouch.v, sprawl.v, sprawl out.v, squat down.v, squat.v, lean.v, sit up.v, sit.v, lie.v, sit down.v, kneel down.v, lie down.v
Verification	6	certify.v, verify.v, confirm.v, make sure.v, identify.v, substantiate.v
Sign	4	signify.v, mark.v, usher in.v, indicate.v
Cause_change	11	change.v, convert.v, turn.v, make.v, transform.v, alter.v, deform.v, vary.v, modify.v, shift.v, reshape.v
Sound_movement	5	echo.v, reverberate.v, resound.v, blast.v, roll.v
Speak_on_topic	13	sermonize.v, go on.v, pontificate.v, ramble.v, deal.v, tell.v, preach.v, lecture.v, discuss.v, hold forth.v, expatiate.v, expound.v, address.v
Trying_out	3	test out.v, try out.v, try.v
Discussion	8	talk over.v, confer.v, talk (to).v, communicate.v, discuss.v, parley.v, negotiate.v, debate.v
Detonate_explosive	4	detonate.v, blow.v, explode.v, blow up.v
Self_control	7	(can't) help.v, hold back.v, repress.v, suppress.v, refrain.v, resist.v, restrain.v
Using_resource	2	use.v, spend.v
