cid	size	cluster
Containing	4	house.v,contain.v,store.v,hold.v
Rape	5	rape.n,raped.a,rapist.n,sexually assault.v,rape.v
Undergoing_scenario	0	
Measure_duration	14	year.n,century.n,second.n,nanosecond.n,time.n,minute.n,month.n,decade.n,a while.n,millennium.n,fortnight.n,hour.n,day.n,week.n
Network	2	network.n,web.n
Transition_to_state	122	go away.v,transition.n,fusable.a,asphyxiate.v,barbecue.v,vanish.v,go.v,ameliorate.v,agglutinate.v,go.v,sear.v,come.v,perish.v,sizzle.v,decease.v,radioactivity.n,amelioration.n,become.v,suffocate.v,shape up.v,deterioration.n,stew.v,fade.v,exsiccate.v,kick the bucket.v,nuclear.a,parboil.v,decay.n,convert.v,deep fry.v,transmogrify.v,coddle.v,demise.n,change.v,worsen.v,dehydrate.v,suffocation.n,fusion.n,brown.v,dissolve.v,grill.v,plummet.v,metamorphosis.n,disappearance.n,disappear.v,death.n,croak it.v,poach.v,improvement.n,char.v,turn.v,shift.v,scorch.v,unhook.v,get.v,fission.n,end up.v,starvation.n,decline.v,changeable.a,transmutation.n,unhinge.v,pass away.v,veer.v,stick.v,expire.v,fasten.v,detach.v,die.v,starve.v,swing.v,metamorphose.v,grow.v,change.n,transform.v,transition.v,mortality.n,fissile.a,blanch.v,steam.v,toast.v,attach.v,dry.v,appear.v,broil.v,take hold.v,fission.v,bind.v,deteriorate.v,croak.v,conversion.n,improve.v,simmer.v,terminator.n,transubstantiate.v,decline.n,bake.v,dissipation.n,drown.v,thermonuclear.a,transmute.v,radioactive.a,look up.v,cook.v,fry.v,dry up.v,braise.v,dissipate.v,shift.n,moor.v,decouple.v,transubstantiation.n,fuse.v,transformation.n,turn.v,singe.v,roast.v,mortal.a,boil.v,saute.v,end.n,decay.v
Candidness	29	dishonest.a,earnestness.n,sincere.a,devious.a,honest.a,forthrightness.n,forthcoming.a,truthful.a,open.a,candid.a,evasive.a,outspoken.a,blunt.a,bluntness.n,coy.a,straight.a,forthright.a,earnest.a,frank.a,circumspect.a,honesty.n,straightforward.a,disingenuous.a,true.a,ingenuous.a,discreet.a,explicit.a,candour.n,secretive.a
Completeness	5	complete.a,total.a,completeness.n,full.a,incomplete.a
Speak_on_topic	15	ramble.v,preach.v,lecture.v,hold forth.v,expatiate.v,pontificate.v,deal.v,expound.v,go on.v,address.n,sermonize.v,discuss.v,address.v,tell.v,lecture.n
Employment_end	25	shitcan.v,discharge.v,retirement.n,give notice.idio,can.v,terminate.v,the sack.n,quit.v,lay off.v,give the boot.v,sack.v,let go.v,resignation.n,firing.n,leave.v,step down.v,termination.n,dismiss.v,fire.v,dismissal.n,stand down.v,lay-off.n,downsize.v,retire.v,resign.v
Telling	21	convince.v,incite.v,warn.v,forewarn.v,advise.v,alert.n,apprise.v,let know.v,motivate.v,assurance.n,tell.v,dissuade.v,notify.v,notification.n,persuade.v,sway.v,assure.v,inform.v,brief.v,warning.n,confide.v
Process_stopped_state	0	
Committing_crime	100	stick up.v,embezzler.n,misappropriate.v,stealing.n,carjacking.n,rifle.v,purloin.v,thieving.a,rustle.v,domestic violence.n,rape.v,abusive.a,mug.v,pilfer.v,cutpurse.n,embezzlement.n,stolen.a,light-fingered.a,steal.v,heist.n,kidnapped.a,nick.v,kidnapper.n,hijacked.a,rob.v,abduction.n,contraband.n,ransack.v,abstract.v,kidnapping.n,crime.n,stick-up.n,perpetrate.v,pirate.v,pilferage.n,hijacking.n,lift.v,flog.v,snitch.v,pickpocket.v,make off (with).v,filch.v,shoplift.v,peculation.n,theft.n,abstraction.n,commission.n,smuggling.n,hijacker.n,hold-up.n,snatch.n,abductor.n,contraband.a,abducted.a,abuse.n,snatcher.n,pickpocket.n,nab.v,shoplifting.n,shoplifter.n,larceny.n,snatch.v,bag.v,smuggler.n,robbery.n,carjack.v,commit.v,pilfering.n,sexually assault.v,stealer.n,kidnap.v,misappropriation.n,smuggle.v,hold up.v,mugging.n,pinch.v,mugger.n,raped.a,swipe.v,hijack.v,snatch.v,embezzle.v,maltreatment.n,snatcher.n,piracy.n,thieve.v,abduct.v,batter.v,thief.n,abuse.v,abscond (with).v,robber.n,rob blind.v,rapist.n,thieving.n,cop.v,shanghai.v,rape.n,pilferer.n,maltreat.v
Arraignment	2	arraignment.n,arraign.v
Dying	2	moribund.a,dying.a
Locative_scenario	0	
Lively_place	12	busy.a,hectic.a,hopping.a,abustle.a,frenetic.a,buzz.v,jumping.a,hum.v,bustle.v,happening.a,abuzz.a,lively.a
Surrendering_possession	4	surrender.v,give up.v,yield.v,relinquish.v
Reveal_secret	19	admit.v,disclosure.n,let slip.v,come forward.v,leak.v,confession.n,fess up.v,come clean.v,reveal.v,confide.v,disclose.v,revelation.n,confess.v,let on.v,expose.v,divulgence.n,divulge.v,spill beans.v,tip (someone's) hand.idio
Corporal_punishment	8	lash.n,scourge.v,flogging.n,flog.v,paddle.v,spank.v,cane.v,caning.n
Causation_scenario	0	
Commerce_sell	11	sell.v,auction.n,sale.n,rent.v,vendor.n,lease.v,auction.v,retail.v,vend.v,seller.n,retailer.n
Activity_done_state	3	through.a,finished.a,done.a
Locale_by_collocation	9	position.n,site.n,field.n,firing point.n,scene.n,battlefield.n,venue.n,theater [of war].n,location.n
